Product Name,Original Price,Discount,Price After Discount,Ratings
Boost Nutrition Drink Chocolate Flavour  (500 g),₹299,N/A,₹298,4.4
"Pediasure Scientifically Designed, Clinically Proven  (200 g)",₹420,15% off,₹357,4.4
TATA 1mg Pro+ Soy Protein Supplement Powder- High Protein for Muscle & Bone Strength  (400 g),₹645,24% off,₹485,4.1
"Slurrp Farm No Sugar Vanilla Milk Mix, Sweetened with Jaggery Powder  (250 g)",₹299,7% off,₹278,4.3
"NUTRELA Mother Plus Drink for Pregnancy&Lactation, No Added Sugar No Preservative  (400 g)",₹500,26% off,₹366,4.3
"Slurrp Farm No Sugar Berry Milk Mix, Sweetened with Jaggery Powder  (250 g)",₹299,15% off,₹254,4.3
MTR Badam Mix  (450 g),N/A,N/A,₹280,3.8
"Gritzo SuperMilk Weight, Daily Nutrition for 8-12 Yr Boys, 7g Protein, Double Chocolate  (400 g)",₹699,7% off,₹649,4.2
Pediasure Scientifically Designed Nutrition Drink Chocolate  (950 g),"₹1,785",9% off,"₹1,617",4.4
ENSURE High Protein Nutrition Health Supplement - Vanilla  (400 g),₹880,15% off,₹748,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Vanilla Delight  (1.9 kg),"₹3,980",20% off,"₹3,184",4.5
PATANJALI Nutrela Kid's Superfood PACK OF 2  (2 x 400 g),₹998,36% off,₹631,4.4
Veeba Indusviva IPulse Fruit Juice Immunity Booster - I Pulse Acai Berry Juice - 1 L  (1 kg),"₹2,997",7% off,"₹2,775",4.8
Manna Go Grains Multigrain Kids Drink | Clinically Proven 100% More Growth in 90 Days*  (2 x 400 g),₹498,15% off,₹423,3.9
Signutra Groviva Child's Nutrition Supplement (Jar)  (200 g),₹465,23% off,₹358,4.3
Protinex Creamy Vanilla -Nutrition Drink Powder with Protein for Strength & Energy  (250 g),₹445,10% off,₹399,4.3
Cadbury Bournvita 5 Star Magic Nutrition Drink  (500 g),₹280,13% off,₹243,4.4
Maxvida HPHF - High Protein High Fiber Supplement for Recovery - 400g Jar (Vanilla)  (400 g),"₹1,250",13% off,"₹1,079",4.4
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
ENSURE Diabetes Care Specialized Nutritional Drink Vanilla Delight  (1.9 kg),"₹3,980",20% off,"₹3,184",4.5
PATANJALI Nutrela Kid's Superfood PACK OF 2  (2 x 400 g),₹998,36% off,₹631,4.4
Veeba Indusviva IPulse Fruit Juice Immunity Booster - I Pulse Acai Berry Juice - 1 L  (1 kg),"₹2,997",7% off,"₹2,775",4.8
Manna Go Grains Multigrain Kids Drink | Clinically Proven 100% More Growth in 90 Days*  (2 x 400 g),₹498,15% off,₹423,3.9
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
"Signutra Vivamom® Maternal Nutrition in Pregnancy & Lactation (Flavor- Kesar Badam, 400 gm) Nutrition Drink  (400, Kesar Badam Flavored)",₹730,27% off,₹528,4.3
Signutra Groviva Child's Nutrition Supplement (Jar)  (200 g),₹465,23% off,₹358,4.3
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
"Vansaar Pro-Strength Complete Nutrition Drink with Ashwagandha,Regain Strength &Energy  (400 g)","₹1,750",31% off,"₹1,199",4.3
Protinex Creamy Vanilla -Nutrition Drink Powder with Protein for Strength & Energy  (250 g),₹445,10% off,₹399,4.3
Cadbury Bournvita 5 Star Magic Nutrition Drink  (500 g),₹280,13% off,₹243,4.4
Maxvida HPHF - High Protein High Fiber Supplement for Recovery - 400g Jar (Vanilla)  (400 g),"₹1,250",13% off,"₹1,079",4.4
"Signutra Vivamom� Maternal Nutrition in Pregnancy & Lactation (Flavor-Vanilla, 200 grams)  (200 g)",₹415,19% off,₹336,4.3
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
Protinex Diabetes Care Vanilla Flavour with Vital Nutrients to Manage Blood Sugar Level  (2 x 400 g),"₹1,520",25% off,"₹1,139",4.5
Manna Health Mix - Kids Nutrition Drink with Millets & Multigrain|Zero Junk & No Sugar  (2 x 250 g),₹498,30% off,₹347,4.2
HORLICKS Nutrition Drink Refill  (500 g),₹264,4% off,₹253,4.5
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids- Vanilla  (2 x 400 g),"₹1,250",24% off,₹938,4.4
Dabur Vita | Chocolate Nutrition Drink For Kids| Promotes Physical Growth  (500 g),₹230,23% off,₹176,4.3
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids Chocolate  (400 g),₹625,20% off,₹500,4.3
"Gritzo SuperMilk Genius+ (13+ y Boys),13g Protein, Double Chocolate  (400 g)",₹799,7% off,₹743,4.4
"Pediasure 7+ Specialized Nutrition Health Supplement for Growing Children Nutrition Drink  (400 g, Chocolate Flavored)",₹615,15% off,₹522,4.4
Dr. Morepen INTEBACT DROPS 10BN Prebiotics and Probiotics Supplement for Gut Health Unflavoured Drink  (1 No),₹659,15% off,₹560,4.3
"Slurrp Farm Instant Health Mix, Multigrain, No Added Sugar, No Preservatives  (2 x 300 g)",N/A,N/A,₹258,4.3
"Gritzo SuperMilk Daily Nutrition (13+y Girls),12g Protein, Double Chocolate  (400 g)",₹799,7% off,₹743,4.2
Pediasure Scientifically Designed Nutrition Drink Vanilla  (950 g),N/A,N/A,"₹1,785",4.5
Signutra Vidavance Advanced Nutrition for Diabetes and Pre-Diabetes - BIB  (400 g),₹895,30% off,₹626,4.4
HORLICKS Chocolate Nutrition Drink  (500 g),₹249,1% off,₹246,4.4
HORLICKS Diabetes Plus vanilla  (400 g),₹890,13% off,₹769,4.2
Little Joys Nutrimix for Kids 13+ years | 12g Protein | Supports Immunity & Brain Health  (350 g),₹749,2% off,₹734,4.2
Signutra Maxvida� HPHF - High Protein High Fiber Supplement for Recovery - 400g Orange  (400 g),"₹1,250",33% off,₹836,4.3
NUTRELA Women Superfood with Biofermented Vitamins Glucosamine Calcium for Daily Fitness  (400 g),₹550,31% off,₹379,4.3
"Gritzo SuperMilk Daily Nutrition (8-12y Young Athlete),9g Protein, Double Chocolate  (400 g)",₹699,7% off,₹649,4.3
"Gritzo SuperMilk Daily Nutrition (8-12y Girls),10g Protein, Double Chocolate  (400 g)",₹699,7% off,₹649,4.2
Manna iStrong Women Nutrition Drink Caramel|Clinically Proven Tackle Anemia in 90Days*  (2 x 200 g),₹538,32% off,₹361,4
"GLUCON-D Nimbu Pani Glucose Powder Energy Drink  (450 g, Nimbu Pani Flavored)",₹209,10% off,₹188,4.5
Little Joys Nutrimix for Kids 7-12 years |Chocolate Flavour| Supports Weight & Height Gain  (350 g),₹699,7% off,₹645,4.4
Protinex Rich Chocolate- Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,235",38% off,₹765,4.4
HORLICKS Chocolate Delight Flavour  (1 kg),N/A,N/A,₹458,4.3
Thillai's Thillais Masala Milk Mix - 200g | All Natural & Immunizing Turmeric Golden Milk  (200 g),₹340,66% off,₹113,4.8
Manna Badam Milk Drink Mix  (400 g),₹299,29% off,₹210,4.2
HORLICKS DIABETES PLUS  (400 g),₹790,5% off,₹749,4.3
Protinex Creamy Vanilla Nutrition Drink Powder with Protein for Strength & Energy  (750 g),"₹1,295",38% off,₹802,4.4
Bournvita Chocolate Nutrition Drink  (2 kg),₹875,34% off,₹577,4.4
"PATANJALI Nutrela Slim choice, 500 Gm Whey Protein -PACK OF 1  (500 g)","₹1,299",31% off,₹885,4.2
"GLUCON-D Glucose Powder, Refill Energy Drink  (1 kg, Tangy Orange Flavored)",₹399,15% off,₹339,4.5
"Herbalife Nutrition Nutrition Energy Drink  (50 g, Elaichi Flavored)",₹848,41% off,₹498,3.5
"Vansaar Pro-Strength Complete Nutrition Drink with Ashwagandha,Regain Strength &Energy  (400 g)","₹1,750",31% off,"₹1,199",4.3
N/A,N/A,N/A,N/A,No Rating
"Slurrp Farm High Protein Chocolate Swirl Milk Mix, No Sugar  (250 g)",N/A,N/A,₹299,4.1
AptaGrow Nutritious & Tasty Milk Drink Powder for Kids Vanilla  (400 g),₹625,20% off,₹500,4.3
HORLICKS Classic Malt Jar  (2 x 200 g),₹399,12% off,₹349,4.3
"HERBALIFE New Lemon Afresh Energy Drink  (50 g, Lemon Flavored)",₹885,32% off,₹598,4.2
"HERBALIFE New Kashmiri Kahwa Afresh Energy Drink  (50 g, Kashmiri Kahwa Flavored)",₹885,32% off,₹599,3.6
NUTRELA Women'S Super Food Milk Protein Ginseng & Other Botanical Extracts  (400 g),₹550,31% off,₹379,4.2
Manna iStrong Women Nutrition Drink Chocolate|Clinically Proven Tackle Anemia 90 Days*  (200 g),₹269,26% off,₹199,4.1
"Herbalife Nutrition 1522 Energy Drink  (0.5 g, Ginger Flavored)",₹848,41% off,₹498,3.7
grainva ABC Nutri Mix Malt Milk Drink Powder For Kid's & Adults  (200 g),₹450,20% off,₹360,4.1
Bevzilla Choco Hazelnut Instant Milkshake 10 Cubes Pack with Organic Date Palm Jaggery  (10 x 10 g),₹349,42% off,₹199,4.6
"GRD Superior Protein Powder with 15 Essential Micronutrients- Chocolate, Pack of 2  (200 g)",₹780,2% off,₹757,3.3
"Signutra MaxvidaTM Balanced Nutrition Supplement for Adults (Chocolate, 200 grams)  (200 g)",₹440,10% off,₹395,4.2
"Gritzo SuperMilk Daily Nutrition (4-7y Kids),6g Protein, Double Chocolate  (1 kg)","₹1,499",7% off,"₹1,394",4.3
"Gritzo SuperMilk Height+ (8-12y Girls), 10g Protein with Super Gummies  (400 g)","₹1,248",18% off,"₹1,022",4.9
"Signutra Vidavance Advanced Nutrition for Diabetes & Pre-Diabetes (400g, Vanilla Flavor) Nutrition Drink  (400 g, Vanilla Flavored)",₹970,35% off,₹630,4.3
"Teamex Ajwain Drops Effective For Digestive System, Use in Cough and Cold (Ayurvedic) Ajwain and Mint Drink  (20 ml)",₹300,20% off,₹240,5
DXN COCOZHI FAMILY DRINK CONTAINING GANODERMA EXTRACT  (20 x 25 g),₹890,3% off,₹859,4.4
Boost 3x more stamina 200 gm milk drink mix  (200 g),₹240,7% off,₹222,4.1
joy mints Hot Chocolate With Ashwagandha  (150 g),₹399,37% off,₹249,4.5
